['http://kpfu.ru/', 0.012367355184035849]
['http://kpfu.ru/edu', 0.01235798979281623]
['http://kpfu.ru/science', 0.01235798979281623]
['http://kpfu.ru/staff', 0.012357989792816222]
['http://kpfu.ru/sveden', 0.012357989792816222]
['http://kpfu.ru/prioritetnye-napravleniya', 0.012357989792816215]
['http://kpfu.ru/international', 0.012357989792816215]
['http://kpfu.ru/social', 0.012357989792816215]
['http://kpfu.ru/alumnus', 0.012357989792816215]
['http://kpfu.ru/institutes', 0.011201725336101599]
['http://kpfu.ru/edu/dopolnitelnoe-obrazovanie', 0.011201725336101599]
['http://kpfu.ru/open', 0.011201725336101599]
['http://kpfu.ru/science/novosti-nauki-kfu', 0.011201725336101599]
['http://kpfu.ru/science/centry-kollektivnogo-dostupa', 0.011201725336101599]
['http://kpfu.ru/science/nauchnye-izdaniya', 0.011201725336101599]
['http://kpfu.ru/main_page?p_sub=5041', 0.011201725336101599]
['http://kpfu.ru/science/konferencii/perechen-nauchno-tehnicheskih-meropriyatij-kfu', 0.011201725336101599]
['http://kpfu.ru/international/proekty-i-granty', 0.011201725336101599]
['http://kpfu.ru/international/razvitie-sotrudnichestva', 0.011201725336101599]
['http://kpfu.ru/museums', 0.011201725336101599]
['http://kpfu.ru/main_page?p_sub=5056', 0.011201725336101599]
['http://kpfu.ru/social-org', 0.011201725336101599]
['http://kpfu.ru/job', 0.011201725336101599]
['http://kpfu.ru/rector', 0.011201725336101595]
['http://kpfu.ru/sveden/struct', 0.011201725336101595]
['http://kpfu.ru/cpr/ppk', 0.011201725336101595]
['http://kpfu.ru/main_page?p_sub=9921', 0.010514347385663288]
['http://kpfu.ru/main_page?p_sub=5613', 0.010514347385663288]
['http://kpfu.ru/ae_programms?p_sub=32126', 0.010514347385663288]
['http://kpfu.ru/main_page?p_sub=7&p_id=2', 0.010403616611366623]
['http://kpfu.ru/international-relations', 0.010401234558375954]
['http://kpfu.ru/international/obuchenie-i-stazhirovki-za-rubezhom', 0.010401234558375954]
['http://kpfu.ru/international/centry-mezhdunarodnogo-sotrudnichestva', 0.010401234558375954]
['http://kpfu.ru/international/priglashenie-inostrannogo-uchenogo', 0.010401234558375954]
['http://kpfu.ru/international/yazykovoe-testirovanie', 0.010401234558375954]
['http://kpfu.ru/international/dokumenty', 0.010401234558375954]
['http://kpfu.ru/international/buddy-programm', 0.010401234558375954]
['http://kpfu.ru/philology-culture/kmlc/exam', 0.010401234558375954]
['http://kpfu.ru/international/otchety-o-mezhdunarodnoj-deyatelnosti', 0.010401234558375954]
['http://kpfu.ru/social/predstavitelyam-smi', 0.010401234558375954]
['http://kpfu.ru/social/socialnaya-infrastruktura', 0.010401234558375954]
['http://kpfu.ru/sveden/kfu-v-proekte-39kulturnoe-nasledie-rossii39', 0.010401234558375954]
['http://kpfu.ru/unics', 0.010401234558375954]
['http://kpfu.ru/main_page?p_sub=30061', 0.010401234558375943]
['http://kpfu.ru/structure/nauchno-obrazovatelnyj-centr-farmacevtiki', 0.010401234558375943]
['http://kpfu.ru/main_page?p_sub=216', 0.010401234558375943]
['http://kpfu.ru/main_page?p_sub=88', 0.010401234558375943]
['http://kpfu.ru/institutes/isfnmk', 0.010401234558375943]
['http://kpfu.ru/isfnmk/struktura/otdeleniya/massovyh-kommunikacij', 0.010401234558375943]
['http://kpfu.ru/institutes/institut-upravleniya-ekonomiki-i-finansov', 0.010401234558375943]
['http://kpfu.ru/main_page?p_sub=22881', 0.010401234558375943]
['http://kpfu.ru/chelny', 0.010401234558375943]
['http://kpfu.ru/elabuga', 0.010401234558375943]
['http://kpfu.ru/chistopol', 0.010401234558375943]
['http://kpfu.ru/library', 0.010401234558375943]
['http://kpfu.ru/sveden/internet-priemnaya', 0.010401234558375943]
['http://kpfu.ru/sveden/karta-vseh-obektov', 0.010401234558375943]
['http://kpfu.ru/sveden/struktura-i-organy-upravleniya-obrazovatelnoj', 0.010401234558375943]
['http://kpfu.ru/sveden/document', 0.010401234558375943]
['http://kpfu.ru/sveden/education', 0.010401234558375943]
['http://kpfu.ru/sveden/edustandarts', 0.010401234558375943]
['http://kpfu.ru/sveden/employees', 0.010401234558375943]
['http://kpfu.ru/sveden/objects', 0.010401234558375943]
['http://kpfu.ru/sveden/grants', 0.010401234558375943]
['http://kpfu.ru/sveden/paid-edu', 0.010401234558375943]
['http://kpfu.ru/sveden/budget', 0.010401234558375943]
['http://kpfu.ru/sveden/vacant', 0.010401234558375943]
['http://kpfu.ru/sveden/istoriya-universiteta', 0.010401234558375943]
['http://kpfu.ru/sveden/cifry-i-fakty', 0.010401234558375943]
['http://kpfu.ru/main_page?p_sub=6226', 0.010401234558375943]
['http://kpfu.ru/sveden/dostizheniya-kfu', 0.010401234558375943]
['http://kpfu.ru/sveden/strategicheskie-partnery', 0.010401234558375943]
['http://kpfu.ru/main_page?p_sub=10707', 0.010401234558375943]
['http://kpfu.ru/main_page?p_sub=7650', 0.010401234558375943]
['http://kpfu.ru/edu/povyshennye-stipendii', 0.010401234558375943]
['http://kpfu.ru/edu/akademicheskaya-mobilnost', 0.010401234558375943]
['http://kpfu.ru/edu/dovuzovskoe-obrazovanie-v-kfu', 0.010401234558375943]
['http://kpfu.ru/edu/normativno-pravovoe-obespechenie-obrazovatelnoj', 0.010401234558375943]
['http://kpfu.ru/studentu/ucheba/zhurnal-uspevaemosti', 0.010401234558375943]
['http://kpfu.ru/science/oblasti-nauchnyh-issledovanij', 0.010401234558375943]
['http://kpfu.ru/science/grafik-provedeniya-nauchnyh-seminarov-kfu', 0.010401234558375943]
['http://kpfu.ru/science/nauchno-issledovatelskaya-rabota-studentov-nirs', 0.010401234558375943]
['http://kpfu.ru/science/molodye-uchenye-i-specialisty', 0.010401234558375943]
['http://kpfu.ru/main_page?p_sub=5042', 0.010401234558375943]
['http://kpfu.ru/intellektualnaya-sobstvennost_122399.html', 0.010401234558375943]
['http://kpfu.ru/science/eksportnyj-kontrol', 0.010401234558375943]
['http://kpfu.ru/science/upravlenie-nauchno-issledovatelskoj-deyatelnosti/dokumenty', 0.010401234558375943]
['http://kpfu.ru/science/upravlenie-nauchno-issledovatelskoj-deyatelnosti', 0.010401234558375943]
['http://kpfu.ru/prioritetnye-napravleniya/biomedicina-i-farmacevtika', 0.010401234558375943]
['http://kpfu.ru/prioritetnye-napravleniya/nefterazrabotka-neftepererabotka-neftehimiya', 0.010401234558375943]
['http://kpfu.ru/prioritetnye-napravleniya/informacionnye-tehnologii', 0.010401234558375943]
['http://kpfu.ru/prioritetnye-napravleniya/perspektivnye-materialy', 0.010401234558375943]
['http://kpfu.ru/prioritetnye-napravleniya/laboratorii', 0.010401234558375943]
['http://kpfu.ru/news/novosti-i-obyavleniya-46421', 0.00023712301842267682]
['http://kpfu.ru/main_page?p_sub=7&p_id=1', 0.00023491670906380975]
['http://kpfu.ru/news/kfu-i-industrialnyj-universitet-santandera-286095.html', 0.00013518114093279707]
['http://kpfu.ru/news/germaniya-286064.html', 0.00013518114093279707]
['http://kpfu.ru/news/mezhdunarodnyj-simpozium-39nelinejnye-volnovye_277232.html', 0.00012418593476711608]
['http://kpfu.ru/news/falling-walls-lab-v-kfu-ndash-vyzov-dlya-molodyh.html', 0.00012418593476711608]
['http://kpfu.ru/news/novosti-i-obyavleniya/kazanskij-universitet-stal-odnim-iz-23-vuzov-mira.html', 0.00012418593476711608]
